indicator,horizon_months,event,signal_month,split,signal_value,alarm,outcome,first_event_month,lead_months
curve_inverted,24,inflation_onset_400,1966-10,training_pre2000,-0.1900000000000004,1,1,1968-05,19.0
curve_inverted,24,inflation_onset_400,2000-09,holdout_2000plus,-0.2599999999999998,1,0,,
curve_inverted,24,inflation_onset_400,2006-09,holdout_2000plus,-0.08000000000000007,1,1,2007-11,14.0
curve_inverted,24,inflation_onset_400,2019-07,holdout_2000plus,-0.10000000000000009,1,1,2021-04,21.0
curve_inverted,24,credit_onset_300,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-03,6.0
curve_inverted,24,credit_onset_300,2006-09,holdout_2000plus,-0.08000000000000007,1,1,2008-02,17.0
curve_inverted,24,credit_onset_300,2019-07,holdout_2000plus,-0.10000000000000009,1,1,2020-03,8.0
curve_inverted,24,credit_onset_300,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
baa_level_300,12,recession_onset,1986-08,training_pre2000,3.07,1,0,,
baa_level_300,12,recession_onset,2001-03,holdout_2000plus,3.04,1,1,2001-04,1.0
baa_level_300,12,recession_onset,2002-06,holdout_2000plus,3.13,1,0,,
baa_level_300,12,recession_onset,2010-06,holdout_2000plus,3.08,1,0,,
baa_level_300,12,recession_onset,2011-08,holdout_2000plus,3.25,1,0,,
baa_level_300,12,recession_onset,2015-08,holdout_2000plus,3.15,1,0,,
baa_level_300,12,recession_present_or_onset,1986-08,training_pre2000,3.07,1,0,,
baa_level_300,12,recession_present_or_onset,2001-03,holdout_2000plus,3.04,1,1,2001-04,1.0
baa_level_300,12,recession_present_or_onset,2002-06,holdout_2000plus,3.13,1,0,,
baa_level_300,12,recession_present_or_onset,2008-02,holdout_2000plus,3.22,1,1,2008-02,0.0
baa_level_300,12,recession_present_or_onset,2010-06,holdout_2000plus,3.08,1,0,,
baa_level_300,12,recession_present_or_onset,2011-08,holdout_2000plus,3.25,1,0,,
baa_level_300,12,recession_present_or_onset,2015-08,holdout_2000plus,3.15,1,0,,
baa_level_300,12,recession_present_or_onset,2020-03,holdout_2000plus,3.93,1,1,2020-03,0.0
baa_level_300,12,equity_entry_loss_20,1986-08,training_pre2000,3.07,1,0,,
baa_level_300,12,equity_entry_loss_20,2001-03,holdout_2000plus,3.04,1,0,,
baa_level_300,12,equity_entry_loss_20,2002-06,holdout_2000plus,3.13,1,0,,
baa_level_300,12,equity_entry_loss_20,2008-02,holdout_2000plus,3.22,1,1,2008-10,8.0
baa_level_300,12,equity_entry_loss_20,2010-06,holdout_2000plus,3.08,1,0,,
baa_level_300,12,equity_entry_loss_20,2011-08,holdout_2000plus,3.25,1,0,,
baa_level_300,12,equity_entry_loss_20,2015-08,holdout_2000plus,3.15,1,0,,
baa_level_300,12,equity_entry_loss_20,2020-03,holdout_2000plus,3.93,1,0,,
baa_level_300,12,equity_peak_drawdown_20,1986-08,training_pre2000,3.07,1,0,,
baa_level_300,12,equity_peak_drawdown_20,2001-03,holdout_2000plus,3.04,1,0,,
baa_level_300,12,equity_peak_drawdown_20,2002-06,holdout_2000plus,3.13,1,0,,
baa_level_300,12,equity_peak_drawdown_20,2008-02,holdout_2000plus,3.22,1,1,2008-10,8.0
baa_level_300,12,equity_peak_drawdown_20,2010-06,holdout_2000plus,3.08,1,0,,
baa_level_300,12,equity_peak_drawdown_20,2011-08,holdout_2000plus,3.25,1,0,,
baa_level_300,12,equity_peak_drawdown_20,2015-08,holdout_2000plus,3.15,1,0,,
baa_level_300,12,equity_peak_drawdown_20,2020-03,holdout_2000plus,3.93,1,0,,
baa_level_300,12,inflation_onset_400,1986-08,training_pre2000,3.07,1,1,1987-08,12.0
baa_level_300,12,inflation_onset_400,2001-03,holdout_2000plus,3.04,1,0,,
baa_level_300,12,inflation_onset_400,2002-06,holdout_2000plus,3.13,1,0,,
baa_level_300,12,inflation_onset_400,2010-06,holdout_2000plus,3.08,1,0,,
baa_level_300,12,inflation_onset_400,2011-08,holdout_2000plus,3.25,1,0,,
baa_level_300,12,inflation_onset_400,2015-08,holdout_2000plus,3.15,1,0,,
baa_level_300,12,inflation_onset_400,2020-03,holdout_2000plus,3.93,1,0,,
baa_widening_100,12,recession_present_or_onset,2008-10,holdout_2000plus,2.31,1,1,2008-10,0.0
baa_widening_100,12,recession_present_or_onset,2020-03,holdout_2000plus,1.9500000000000002,1,1,2020-03,0.0
baa_widening_100,12,equity_entry_loss_20,2008-10,holdout_2000plus,2.31,1,1,2009-03,5.0
baa_widening_100,12,equity_entry_loss_20,2020-03,holdout_2000plus,1.9500000000000002,1,0,,
baa_widening_100,12,equity_peak_drawdown_20,2008-10,holdout_2000plus,2.31,1,1,2009-03,5.0
baa_widening_100,12,equity_peak_drawdown_20,2020-03,holdout_2000plus,1.9500000000000002,1,0,,
