signal_month,claims_rise_20pct,sahm_050,curve_inverted,baa_level_300,baa_widening_100,nfci_positive,inflation_surge,inflation_400,cpi_yoy_change_12m
1992-09,3.4097954122752627,0.9,3.46,2.29,0.42999999999999994,-0.897,3.0746705710102518,3.0746705710102518,-0.7247215262541795
1992-10,0.0,0.8,3.51,2.19,0.21999999999999997,-0.804,2.9927007299270114,2.9927007299270114,-0.40352568516732745
1992-11,0.0,0.67,3.73,2.0,-0.06000000000000005,-0.682,3.279883381924198,3.279883381924198,0.4313076697802787
1992-12,0.0,0.5,3.74,2.06,-0.22999999999999998,-0.734,3.1204644412191396,3.1204644412191396,0.053897500306621104
1993-01,3.3532041728763007,0.37,3.5499999999999994,2.11,-0.08000000000000007,-0.88,2.966714905933454,2.966714905933454,-0.013911025512158837
1993-02,2.4224072672218044,0.2,3.5999999999999996,2.2,0.20000000000000018,-0.956,3.2537960954446943,3.2537960954446943,0.5811903047987954
1993-03,6.28311884935655,-0.03,3.3299999999999996,2.18,0.1200000000000001,-0.955,3.2467532467532534,3.2467532467532534,0.42776214883042396
1993-04,7.418622255866758,-0.1,3.0300000000000002,2.12,0.010000000000000231,-0.974,3.0194104960460155,3.0194104960460155,-0.17050048318245636
1993-05,4.087812263436796,-0.03,3.0999999999999996,2.1,-0.10000000000000009,-0.993,3.1563845050215145,3.1563845050215145,-0.02644303013763505
1993-06,3.7850113550340625,-0.03,3.08,2.16,-0.020000000000000018,-0.981,3.2211882605583497,3.2211882605583497,0.19758944049934613
1993-07,7.4943224829674415,0.0,2.89,2.05,-0.07000000000000028,-1.019,2.9978586723768963,2.9978586723768963,-0.016847209976034172
1993-08,3.2551097653293004,-0.07,2.7699999999999996,1.91,-0.19000000000000017,-1.09,2.8469750889679624,2.8469750889679624,-0.310146790620891
1993-09,2.649507948523855,-0.07,2.6599999999999997,2.0,-0.16000000000000014,-1.09,2.840909090909083,2.840909090909083,-0.23376148010116893
1993-10,7.19152157456473,-0.1,2.41,1.96,-0.08999999999999986,-1.05,2.7639971651311157,2.7639971651311157,-0.2287035647958957
1993-11,3.2551097653293004,0.0,2.31,1.91,0.0,-0.966,2.752293577981657,2.752293577981657,-0.5275898039425408
1993-12,0.0,-0.1,2.6199999999999997,1.94,-0.06000000000000005,-0.937,2.7445460942997935,2.7445460942997935,-0.3759183469193461
1994-01,12.61609907120742,-0.1,2.7099999999999995,1.85,-0.10999999999999988,-1.003,2.8109627547435068,2.8109627547435068,-0.15575215118994734
1994-02,7.8947368421052655,0.0,2.77,1.77,-0.1399999999999999,-1.012,2.450980392156854,2.450980392156854,-0.8028157032878402
1994-03,3.9473684210526327,0.0,2.7199999999999998,1.59,-0.34999999999999987,-0.918,2.515723270440251,2.515723270440251,-0.7310299763130024
1994-04,6.656346749226016,0.03,2.9800000000000004,1.48,-0.3700000000000001,-0.789,2.6517794836008246,2.6517794836008246,-0.3676310124451909
1994-05,11.145510835913308,-0.07,3.2899999999999996,1.51,-0.26,-0.72,2.364394993045882,2.364394993045882,-0.7919895119756326
1994-06,5.263157894736836,-0.17,3.04,1.52,-0.07000000000000006,-0.72,2.288488210818307,2.288488210818307,-0.9327000497400428
1994-07,6.578947368421062,-0.17,2.96,1.49,0.010000000000000009,-0.716,2.494802494802495,2.494802494802495,-0.5030561775744014
1994-08,4.102167182662542,-0.1,2.9699999999999998,1.55,0.040000000000000036,-0.77,2.69896193771626,2.69896193771626,-0.14801315125170245
1994-09,2.244582043343657,0.03,2.76,1.5,-0.020000000000000018,-0.806,2.900552486187835,2.900552486187835,0.05964339527875229
1994-10,3.482972136222906,0.0,2.84,1.4,-0.09000000000000008,-0.694,2.965517241379323,2.965517241379323,0.20152007624820722
1994-11,1.5479876160990669,-0.1,2.79,1.3,-0.25,-0.6,2.609890109890123,2.609890109890123,-0.14240346809153426
1994-12,0.0,-0.17,2.67,1.3,-0.19999999999999996,-0.502,2.602739726027403,2.602739726027403,-0.14180636827239024
1995-01,3.2507739938080427,-0.13,2.21,1.33,-0.06999999999999984,-0.405,2.597402597402576,2.597402597402576,-0.2135601573409307
1995-02,4.566563467492268,0.0,2.0700000000000003,1.53,0.22999999999999998,-0.504,2.8708133971291794,2.8708133971291794,0.41983300497232534
1995-03,5.340557275541791,-0.07,1.7000000000000002,1.49,0.18999999999999995,-0.621,2.862985685071595,2.862985685071595,0.3472624146313441
1995-04,9.597523219814242,0.03,1.4699999999999998,1.51,0.17999999999999994,-0.639,2.7872195785180187,2.7872195785180187,0.1354400949171941
1995-05,14.628482972136215,0.07,1.4099999999999993,1.66,0.1299999999999999,-0.672,3.125000000000022,3.125000000000022,0.7606050069541404
1995-06,13.390092879256965,0.17,0.96,1.74,0.25,-0.711,3.1186440677966054,3.1186440677966054,0.8301558569782985
